x,y,theta
34.9195,11.761,-0.489514
35.0431,11.6952,-0.489514
35.1666,11.6294,-0.489514
35.2902,11.5636,-0.489514
35.4137,11.4977,-0.489514
35.5373,11.4319,-0.489514
35.6609,11.3661,-0.489514
35.7844,11.3002,-0.489514
35.908,11.2344,-0.489514
36.0315,11.1686,-0.489514
36.1551,11.1028,-0.489514
36.2786,11.0369,-0.489514
36.4022,10.9711,-0.489514
36.5258,10.9053,-0.489514
36.6493,10.8395,-0.489514
36.7729,10.7736,-0.489514
36.8964,10.7078,-0.489514
37.02,10.642,-0.489514
37.1436,10.5761,-0.489514
37.2671,10.5103,-0.489514
37.3907,10.4445,-0.489514
37.5142,10.3787,-0.489514
37.6378,10.3128,-0.489514
37.7614,10.247,-0.489514
37.8849,10.1812,-0.489514
38.0085,10.1154,-0.489514
38.132,10.0495,-0.489514
38.2556,9.9837,-0.489514
38.3791,9.91787,-0.489514
38.5027,9.85204,-0.489514
38.6263,9.78622,-0.489514
38.7498,9.72039,-0.489514
38.8734,9.65456,-0.489514
38.9969,9.58873,-0.489514
39.1205,9.52291,-0.489514
39.2441,9.45708,-0.489514
39.3676,9.39125,-0.489514
39.4912,9.32542,-0.489514
39.6147,9.2596,-0.489514
39.7383,9.19377,-0.489514
39.8618,9.12794,-0.474884
39.9864,9.06393,-0.460254
40.1118,9.00174,-0.445624
40.2381,8.9414,-0.430994
40.3653,8.88291,-0.416364
40.4934,8.82629,-0.401734
40.6222,8.77155,-0.387104
40.7518,8.7187,-0.372474
40.8822,8.66775,-0.357844
41.0134,8.61871,-0.343214
41.1452,8.5716,-0.343214
41.2771,8.52449,-0.343214
41.4089,8.47738,-0.343214
41.5407,8.43026,-0.343214
41.6726,8.38315,-0.343214
41.8044,8.33604,-0.343214
41.9362,8.28893,-0.343214
42.0681,8.24182,-0.343214
42.1999,8.1947,-0.343214
42.3317,8.14759,-0.343214
42.4636,8.10048,-0.343214
42.5954,8.05337,-0.343214
42.7272,8.00625,-0.343214
42.8591,7.95914,-0.343214
42.9909,7.91203,-0.343214
43.1227,7.86492,-0.343214
43.2546,7.81781,-0.343214
43.3864,7.77069,-0.343214
43.5182,7.72358,-0.343214
43.6501,7.67647,-0.343214
43.9358,7.58521,-0.275091
44.2271,7.51361,-0.206969
44.5225,7.46201,-0.138846
44.8208,7.43064,-0.070723
45.1206,7.41964,-0.00260024
45.4204,7.42908,0.0655226
45.7188,7.4589,0.133645
46.0146,7.50897,0.201768
46.3062,7.57905,0.269891
46.5924,7.66882,0.338014
46.8718,7.77786,0.406137
47.1432,7.90567,0.474259
47.1857,7.92781,0.485149
47.4511,8.06771,0.485149
47.7165,8.20761,0.485149
47.9818,8.34751,0.485149
48.2472,8.48741,0.485149
48.5126,8.62732,0.485149
48.778,8.76722,0.485149
49.0434,8.90712,0.485149
49.3088,9.04702,0.485149
49.5741,9.18692,0.485149
49.8395,9.32683,0.485149
50.1049,9.46673,0.485149
50.3703,9.60663,0.485149
50.6357,9.74653,0.485149
50.901,9.88644,0.485149
51.1664,10.0263,0.485149
51.4318,10.1662,0.485149
51.6972,10.3061,0.485149
51.9626,10.446,0.485149
52.228,10.5859,0.485149
52.4933,10.7258,0.485149
52.7587,10.8657,0.485149
53.0241,11.0057,0.485149
