x,y,theta
38.027,12.1511,-0.120991
38.166,12.1342,-0.120991
38.3049,12.1173,-0.120991
38.4439,12.1004,-0.120991
38.5829,12.0835,-0.120991
38.7219,12.0666,-0.120991
38.8609,12.0497,-0.120991
38.9998,12.0328,-0.120991
39.1388,12.0159,-0.120991
39.2778,11.999,-0.120991
39.4168,11.9821,-0.120991
39.5557,11.9652,-0.120991
39.6947,11.9483,-0.120991
39.8337,11.9314,-0.120991
39.9727,11.9145,-0.120991
40.1116,11.8976,-0.120991
40.2506,11.8807,-0.120991
40.3896,11.8638,-0.120991
40.5286,11.8469,-0.120991
40.6675,11.83,-0.120991
40.8065,11.8131,-0.120991
40.9455,11.7962,-0.120991
41.0845,11.7793,-0.120991
41.2235,11.7624,-0.120991
41.3624,11.7456,-0.120991
41.5014,11.7287,-0.120991
41.6404,11.7118,-0.120991
41.7794,11.6949,-0.120991
41.9183,11.678,-0.120991
42.0573,11.6611,-0.120991
42.1963,11.6442,-0.120991
42.3353,11.6273,-0.120991
42.4742,11.6104,-0.120991
42.6132,11.5935,-0.120991
42.7522,11.5766,-0.120991
42.8912,11.5597,-0.120991
43.0301,11.5428,-0.120991
43.1691,11.5259,-0.120991
43.3081,11.509,-0.120991
43.4471,11.4921,-0.120991
43.5861,11.4752,-0.120991
43.8849,11.4492,-0.0528686
44.1848,11.4435,0.0152542
44.4843,11.4583,0.083377
44.7822,11.4934,0.1515
45.077,11.5488,0.219623
45.3673,11.6241,0.287745
45.6519,11.7189,0.355868
45.9293,11.8329,0.423991
46.1983,11.9656,0.492114
46.4577,12.1162,0.560237
46.7062,12.2842,0.628359
46.9427,12.4686,0.696482
47.1661,12.6688,0.764605
47.3754,12.8837,0.832728
47.5695,13.1123,0.900851
47.6203,13.1776,0.919643
47.8021,13.4163,0.919643
47.984,13.6549,0.919643
48.1658,13.8935,0.919643
48.3476,14.1321,0.919643
48.5295,14.3707,0.919643
48.7113,14.6093,0.919643
48.8931,14.848,0.919643
49.075,15.0866,0.919643
49.2568,15.3252,0.919643
49.4386,15.5638,0.919643
49.6204,15.8024,0.919643
49.8023,16.041,0.919643
49.9841,16.2796,0.919643
50.1659,16.5183,0.919643
50.3478,16.7569,0.919643
50.5296,16.9955,0.919643
50.7114,17.2341,0.919643
50.8933,17.4727,0.919643
51.0751,17.7113,0.919643
51.2569,17.95,0.919643
51.4388,18.1886,0.919643
51.4973,18.2654,0.919643
51.6871,18.4976,0.851521
51.8923,18.7164,0.783398
52.1119,18.9207,0.715275
52.3449,19.1096,0.647152
52.5902,19.2822,0.579029
52.8467,19.4376,0.510907
53.1132,19.5753,0.442784
53.3884,19.6945,0.374661
53.6711,19.7947,0.306538
53.96,19.8754,0.238415
54.2537,19.9363,0.170293
54.5508,19.977,0.10217
54.8501,19.9974,0.034047
55,20,-5.82867e-16
